feature,importance
heightm,0.18365182021714652
camps,0.1578843864291541
o2climb,0.15109471555760404
year,0.11389359529688654
o2used,0.0759909954656969
totmembers,0.06625389907242728
tothired,0.060648868313336164
comrte,0.04683998085853584
season,0.0374885142625021
stdrte,0.03712895357226259
o2sleep,0.035280777969678254
rope,0.02885322867262996
o2medical,0.004990264312139795
